case_id,grid,shape,spacing,anisotropy,rho_frozen,rho_eff,stencil_m,n_directions,apriori_bound,in_domain,domain_reasons,area_true,area_v2,area_rel_err,area_E0,area_E0_rel_err,volume_true,volume_est,volume_rel_err,sphericity_true,sphericity_v2,sphericity_rel_err
confirm-038-ellipsoid-size20-sp2.5x0.8x0.8-rot1,confirm,ellipsoid,2.5x0.8x0.8,3.125,3.6,5.173120995077371,4,289,0.039837585755844104,False,rho_eff 5.17 < 8.0;anisotropy 3.12 > 3.0,2275.093446206408,2257.683116259837,-0.007652577952611872,2618.669921875,0.1510164236293181,9047.786842338603,9060.800000000001,0.0014382696993373578,0.9229534383814795,0.930962459816813,0.008677600735069069
confirm-039-ellipsoid-size20-sp2.5x0.8x0.8-rot2,confirm,ellipsoid,2.5x0.8x0.8,3.125,3.6,5.173729919924979,4,289,0.03983455236630712,False,rho_eff 5.17 < 8.0;anisotropy 3.12 > 3.0,2275.093446206408,2251.3400911750005,-0.010440606328067426,2722.589111328125,0.1966933120342338,9047.786842338603,9064.0,0.0017919473506524675,0.9229534383814795,0.9338051910457349,0.011757638265355475
confirm-040-ellipsoid-size40-sp2.5x0.8x0.8-rot0,confirm,ellipsoid,2.5x0.8x0.8,3.125,7.2,10.340910523689637,4,289,0.030175392251048268,False,anisotropy 3.12 > 3.0,9100.373784825631,9133.558074650655,0.0036464754755849427,10105.1474609375,0.11041015455730774,72382.29473870882,72374.40000000001,-0.00010907002516724607,0.9229534383814793,0.9195332706047068,-0.0037056774854972163
confirm-041-ellipsoid-size40-sp2.5x0.8x0.8-rot1,confirm,ellipsoid,2.5x0.8x0.8,3.125,7.2,10.33923378404113,4,289,0.03017643840115684,False,anisotropy 3.12 > 3.0,9100.373784825631,9108.371654047653,0.0008788506286805386,10430.333984375,0.14614346959758984,72382.29473870882,72339.2,-0.0005953767957259659,0.9229534383814793,0.9217769610515726,-0.001274687628846971
confirm-042-ellipsoid-size40-sp2.5x0.8x0.8-rot2,confirm,ellipsoid,2.5x0.8x0.8,3.125,7.2,10.342434360749712,4,289,0.030174441941101346,False,anisotropy 3.12 > 3.0,9100.373784825631,9119.344478621217,0.0020846060001642464,10860.935546875,0.19346037906541902,72382.29473870882,72406.40000000001,0.00033302703897697405,0.9229534383814793,0.921237921211934,-0.0018587255848503403
confirm-043-cylinder-size5-sp2.5x0.8x0.8-rot0,confirm,cylinder,2.5x0.8x0.8,3.125,2.0,2.46809660352326,3,145,0.07389874824988096,False,rho_eff 2.47 < 8.0;anisotropy 3.12 > 3.0,549.7787143782137,490.1630740494266,-0.10843570107331457,550.22412109375,0.0008101563481590635,981.7477042468104,984.0,0.002294169615520092,0.8688859993676283,0.976053446038022,0.12333890377838941
confirm-044-cylinder-size5-sp2.5x0.8x0.8-rot1,confirm,cylinder,2.5x0.8x0.8,3.125,2.0,2.4478653935566954,3,145,0.07445333660336921,False,rho_eff 2.45 < 8.0;anisotropy 3.12 > 3.0,549.7787143782137,486.8582798874718,-0.11444683623647278,593.1119995117188,0.07881950319323283,981.7477042468104,960.0,-0.02215202964339502,0.8688859993676283,0.9666347108813694,0.11249889120653589
confirm-045-cylinder-size5-sp2.5x0.8x0.8-rot2,confirm,cylinder,2.5x0.8x0.8,3.125,2.0,2.462734073638299,3,145,0.07404441828075985,False,rho_eff 2.46 < 8.0;anisotropy 3.12 > 3.0,549.7787143782137,501.3362637779005,-0.08811263392599777,625.7889404296875,0.1382560365899932,981.7477042468104,977.6,-0.004224816853523938,0.8688859993676283,0.9501579350859835,0.09353578694731479
confirm-046-cylinder-size10-sp2.5x0.8x0.8-rot0,confirm,cylinder,2.5x0.8x0.8,3.125,4.0,4.92613983256343,4,289,0.0411622437130216,False,rho_eff 4.93 < 8.0;anisotropy 3.12 > 3.0,2199.114857512855,2050.9121923975513,-0.06739196209283826,2244.09375,0.02045318021179443,7853.981633974483,7824.0,-0.003817380199208742,0.8688859993676283,0.9293007452376161,0.06953126867501291
confirm-047-cylinder-size10-sp2.5x0.8x0.8-rot1,confirm,cylinder,2.5x0.8x0.8,3.125,4.0,4.932846634354903,4,289,0.041123624081833315,False,rho_eff 4.93 < 8.0;anisotropy 3.12 > 3.0,2199.114857512855,2070.9621592658004,-0.058274672561665186,2497.4482421875,0.13566066531515908,7853.981633974483,7856.0,0.000256986343943888,0.8688859993676283,0.922811385545501,0.06206267130224141
confirm-048-cylinder-size10-sp2.5x0.8x0.8-rot2,confirm,cylinder,2.5x0.8x0.8,3.125,4.0,4.932846634354903,4,289,0.041123624081833315,False,rho_eff 4.93 < 8.0;anisotropy 3.12 > 3.0,2199.114857512855,2090.0604552630066,-0.049590134811415054,2567.912109375,0.16770258752162026,7853.981633974483,7856.0,0.000256986343943888,0.8688859993676283,0.9143790337700486,0.05235788634588423
confirm-049-cylinder-size20-sp2.5x0.8x0.8-rot0,confirm,cylinder,2.5x0.8x0.8,3.125,8.0,9.864018562639826,4,289,0.030494782083722312,False,anisotropy 3.12 > 3.0,8796.45943005142,8501.058920695694,-0.03358175089701965,9049.455078125,0.02876107712260567,62831.853071795864,62816.0,-0.00025230947395027403,0.8688859993676283,0.898927397029618,0.03457461356708902
confirm-050-cylinder-size20-sp2.5x0.8x0.8-rot1,confirm,cylinder,2.5x0.8x0.8,3.125,8.0,9.867283713014888,4,289,0.030492436639975026,False,anisotropy 3.12 > 3.0,8796.45943005142,8613.304133276679,-0.02082147916797361,10252.412109375,0.16551576130159784,62831.853071795864,62878.4,0.0007408173709431143,0.8688859993676283,0.8878003875709206,0.02176854986391552
confirm-051-cylinder-size20-sp2.5x0.8x0.8-rot2,confirm,cylinder,2.5x0.8x0.8,3.125,8.0,9.864102311449594,4,289,0.03049472189563492,False,anisotropy 3.12 > 3.0,8796.45943005142,8638.251385213343,-0.01798542312348861,10370.443359375,0.17893380192789454,62831.853071795864,62817.600000000006,-0.00022684468305544936,0.8688859993676283,0.8846656795221159,0.01816081760549948
confirm-052-sphere-size5-sp4x1x1-offset0,confirm,sphere,4.0x1.0x1.0,4.0,1.25,1.2342050461176612,2,49,0.135722352609908,False,rho_eff 1.23 < 8.0;anisotropy 4.00 > 3.0,314.1592653589793,300.2765446311559,-0.04419007254794827,355.8246765136719,0.13262512282451033,523.5987755982989,504.0,-0.037430904180216995,0.9999999999999997,1.0199598407087858,0.019959840708786203
confirm-053-sphere-size5-sp4x1x1-offset1,confirm,sphere,4.0x1.0x1.0,4.0,1.25,1.2374615389060868,2,49,0.13545277665659602,False,rho_eff 1.24 < 8.0;anisotropy 4.00 > 3.0,314.1592653589793,289.4586850935197,-0.07862438892972035,339.1113586425781,0.07942497973149654,523.5987755982989,508.0,-0.029791466911806008,0.9999999999999997,1.0636694381735816,0.06366943817358206
confirm-054-sphere-size10-sp4x1x1-offset0,confirm,sphere,4.0x1.0x1.0,4.0,2.5,2.518015477394961,4,289,0.07469807416146412,False,rho_eff 2.52 < 8.0;anisotropy 4.00 > 3.0,1256.6370614359173,1236.845779877708,-0.01574940145056236,1501.7548828125,0.19505856455999693,4188.790204786391,4280.0,0.021774734649968153,0.9999999999999997,1.0306971746821205,0.030697174682120965
confirm-055-sphere-size10-sp4x1x1-offset1,confirm,sphere,4.0x1.0x1.0,4.0,2.5,2.4854341480762296,3,145,0.07543798047004314,False,rho_eff 2.49 < 8.0;anisotropy 4.00 > 3.0,1256.6370614359173,1234.0545426913493,-0.01797059742831686,1474.763671875,0.1735796413563011,4188.790204786391,4116.0,-0.017377381350638155,0.9999999999999997,1.0064680977162486,0.0064680977162490105
confirm-056-sphere-size20-sp4x1x1-offset0,confirm,sphere,4.0x1.0x1.0,4.0,5.0,5.00842490559545,4,289,0.04712713460027844,False,rho_eff 5.01 < 8.0;anisotropy 4.00 > 3.0,5026.548245743669,5042.875678607274,0.003248239560304622,6007.7626953125,0.19520641235259073,33510.32163829113,33680.0,0.005063465625319008,0.9999999999999994,1.0001241585425573,0.00012415854255798386
confirm-057-sphere-size20-sp4x1x1-offset1,confirm,sphere,4.0x1.0x1.0,4.0,5.0,4.995902300295872,4,289,0.04717394719192168,False,rho_eff 5.00 < 8.0;anisotropy 4.00 > 3.0,5026.548245743669,5025.841297481592,-0.00014064288802473346,5975.1962890625,0.18872753168580791,33510.32163829113,33428.0,-0.002456605435772974,0.9999999999999994,0.9985020239724132,-0.0014979760275862786
confirm-058-sphere-size30-sp4x1x1-offset0,confirm,sphere,4.0x1.0x1.0,4.0,7.5,7.501561702542063,4,289,0.041958122358160786,False,rho_eff 7.50 < 8.0;anisotropy 4.00 > 3.0,11309.733552923255,11387.043786556638,0.006835725463523401,13484.583984375,0.19229899813949247,113097.33552923254,113168.0,0.0006248111013118507,0.9999999999999996,0.9936243540713995,-0.006375645928600071
confirm-059-sphere-size30-sp4x1x1-offset1,confirm,sphere,4.0x1.0x1.0,4.0,7.5,7.505625100787477,4,289,0.04195362226109414,False,rho_eff 7.51 < 8.0;anisotropy 4.00 > 3.0,11309.733552923255,11396.951398573792,0.007711750700616138,13507.814453125,0.1943530225461061,113097.33552923254,113352.0,0.002251728297362421,0.9999999999999996,0.9938363710659526,-0.006163628934046983
