spacing,radius,rho,bin,nz,ny,nx,solid_angle_weight,g,total_area_rel_err,closure_residual
1x1x1,48,48,77,0.192708333333,-0.785191676739,0.588504485152,0.005205,1.08878089099,0.0857443809509,1.34972538257e-07
1x1x1,48,48,78,0.182291666667,0.978483764805,0.096639900025,0.0052025,1.06656342201,0.0857443809509,1.34972538257e-07
1x1x1,48,48,79,0.171875,-0.657475059342,-0.733611294023,0.0052075,1.05799125409,0.0857443809509,1.34972538257e-07
1x1x1,48,48,80,0.161458333333,-0.0107648683834,0.986820816666,0.0052025,1.05505444985,0.0857443809509,1.34972538257e-07
1x1x1,48,48,81,0.151041666667,0.675651868991,-0.721582266176,0.005205,1.06096685433,0.0857443809509,1.34972538257e-07
1x1x1,48,48,82,0.140625,-0.987157506633,0.0757935780503,0.0052,1.04421382555,0.0857443809509,1.34972538257e-07
1x1x1,48,48,83,0.130208333333,0.780217402013,0.611806011352,0.0051975,1.05524527807,0.0857443809509,1.34972538257e-07
1x1x1,48,48,84,0.119791666667,-0.162253492913,-0.979450744364,0.0051975,1.06400905713,0.0857443809509,1.34972538257e-07
1x1x1,48,48,85,0.109375,-0.542624697676,0.832823839024,0.0051975,1.08893295988,0.0857443809509,1.34972538257e-07
1x1x1,48,48,86,0.0989583333333,0.963735625716,-0.247832386885,0.0051975,1.09923361252,0.0857443809509,1.34972538257e-07
1x1x1,48,48,87,0.0885416666667,-0.878902540412,-0.468711742674,0.0051975,1.10128810807,0.0857443809509,1.34972538257e-07
1x1x1,48,48,88,0.078125,0.331755024111,0.940125038679,0.0052,1.08963276881,0.0857443809509,1.34972538257e-07
1x1x1,48,48,89,0.0677083333333,0.390717758838,-0.918017001218,0.0051975,1.10014949232,0.0857443809509,1.34972538257e-07
1x1x1,48,48,90,0.0572916666667,-0.908808504434,0.413261136812,0.0051975,1.09076746923,0.0857443809509,1.34972538257e-07
1x1x1,48,48,91,0.046875,0.94979756759,0.309333662853,0.00519,1.09765145014,0.0857443809509,1.34972538257e-07
1x1x1,48,48,92,0.0364583333333,-0.491612984005,-0.87005026515,0.005195,1.09760885541,0.0857443809509,1.34972538257e-07
1x1x1,48,48,93,0.0260416666667,-0.225283791454,0.973945093373,0.00519,1.07297010588,0.0857443809509,1.34972538257e-07
1x1x1,48,48,94,0.015625,0.824186637317,-0.566102681713,0.0051925,1.06636082242,0.0857443809509,1.34972538257e-07
1x1x1,48,48,95,0.00520833333333,-0.990233899138,-0.139318693152,0.0051975,1.05885490206,0.0857443809509,1.34972538257e-07
1x1x1,48,48,96,-0.00520833333333,0.636059234209,0.771622656381,0.00519,1.03427652632,0.0857443809509,1.34972538257e-07
1x1x1,48,48,97,-0.015625,0.0522076653274,-0.998514005438,0.00519,1.01522852771,0.0857443809509,1.34972538257e-07
1x1x1,48,48,98,-0.0260416666667,-0.712828045206,0.700855198714,0.0051825,1.03298526017,0.0857443809509,1.34972538257e-07
1x1x1,48,48,99,-0.0364583333333,0.99871261894,-0.0352688913907,0.00519,1.01073092206,0.0857443809509,1.34972538257e-07
1x1x1,48,48,100,-0.046875,-0.759912919414,-0.64833254529,0.005185,1.0304793566,0.0857443809509,1.34972538257e-07
1x1x1,48,48,101,-0.0572916666667,0.122327227816,0.990834857212,0.0051925,1.05641570068,0.0857443809509,1.34972538257e-07
1x1x1,48,48,102,-0.0677083333333,0.578720655735,-0.812710270775,0.0051925,1.05616617134,0.0857443809509,1.34972538257e-07
1x1x1,48,48,103,-0.078125,-0.974963705142,0.208188035271,0.0051925,1.08573981684,0.0857443809509,1.34972538257e-07
1x1x1,48,48,104,-0.0885416666667,0.85878585479,0.504625830569,0.0052,1.09139242077,0.0857443809509,1.34972538257e-07
1x1x1,48,48,105,-0.0989583333333,-0.292084194013,-0.951259203304,0.0052,1.10338687367,0.0857443809509,1.34972538257e-07
1x1x1,48,48,106,-0.109375,-0.426724190192,0.897743601971,0.0052,1.0968657009,0.0857443809509,1.34972538257e-07
1x1x1,48,48,107,-0.119791666667,0.919956875824,-0.373268406407,0.005195,1.10257962181,0.0857443809509,1.34972538257e-07
1x1x1,48,48,108,-0.130208333333,-0.929256731576,-0.345727807314,0.0052,1.1020405295,0.0857443809509,1.34972538257e-07
1x1x1,48,48,109,-0.140625,0.451020641283,0.881365412591,0.0052025,1.10695814427,0.0857443809509,1.34972538257e-07
1x1x1,48,48,110,-0.151041666667,0.262377631806,-0.95307103264,0.005205,1.10030739414,0.0857443809509,1.34972538257e-07
